"","Short.description","Long.description"
"1","hsmw","Housing Starts:Midwest(Thous.U.)S.A."
"2","hsbsou","Houses Authorized By Build. Permits:South(Thou.U.)S.A."
"3","lhel","Index Of Help-Wanted Advertising In Newspapers (1967=100;Sa)"
"4","fygt1","Interest Rate: U.S.Treasury Const Maturities,1-Yr.(percentage Per Ann,Nsa)"
"5","exrjan","Foreign Exchange Rate: Japan (Yen Per U.S.$)"
"6","exrcan","Foreign Exchange Rate: Canada (Canadian $ Per U.S.$)"
"7","lhu680","Unemploy.By Duration: Average(Mean)Duration In Weeks (Sa)"
"8","ces003","Employees On Nonfarm Payrolls - Goods-Producing"
"9","fclbmc","Wkly Rp Lg Com'l Banks:Net Change Com'l & Indus Loans(Bil$,Saar)"
"10","ces140","Employees On Nonfarm Payrolls - Government"
"11","ces011","Employees On Nonfarm Payrolls - Construction"
"12","ces002","Employees On Nonfarm Payrolls: Total Private"
"13","hsbmw","Houses Authorized By Build. Permits:Midwest(Thou.U.)S.A."
"14","pmcp","Napm Commodity Prices Index (Percent)"
"15","pwimsa","Producer Price Index:I ntermed Mat.Supplies & Components(82=100,Sa)"
