"","","NG","AIC","BIC"
"1","hsmw.lag1",-0.045963,-0.061013,-0.060956
"2","hsbsou.lag1",0.052391,0.048934,0.048713
"3","hsmw.lag2",-0.030087,NA,NA
"4","hsbne.lag2",0.00661,NA,NA
"5","D.a1m092.lag3",0.001226,0.001947,0.000605
"6","D.a1m092.lag4",0.000839,0.003079,0.003032
"7","lhelx.lag1",0.035781,0.031766,0.032177
"8","lhu680.lag1",-0.037393,-0.001939,-0.040115
"9","fygt1.lag1",0.050373,0.05944,0.060215
"10","exrcan.lag1",0.000898,0.002165,0.000401
"11","lhu680.lag2",NA,-0.040309,NA
"12","D.pwimsa.lag4",NA,-0.014259,-0.014628
"13","D.pu84.lag4",NA,-0.000604,-0.00085
