"","V1","V2","V3"
"MSE1",0.0627373609860215,0.0627373609860215,0.0627373609860215
"MSE2",0.0626239191099073,0.0626239191099073,0.0626239191099073
"MSE3",0.0626236737413704,0.0626236737413704,0.0626236737413704
"MSE1",0.0743321176965939,0.0743321176965939,0.0743321176965939
"MSE2",0.0746895006943515,0.0746895006943515,0.0746895006943515
"MSE3",0.0746953709076967,0.0746953709076967,0.0746953709076967
"MSE1",0.0799165957839016,0.0799165957839016,0.0799165957839016
"MSE2",0.0802140127163184,0.0802140127163184,0.0802140127163184
"MSE3",0.0802193639341971,0.0802193639341971,0.0802193639341971
"MSE1",0.091751535384022,0.091751535384022,0.091751535384022
"MSE2",0.0902908992633202,0.0902908992633202,0.0902908992633202
"MSE3",0.0903050644136667,0.0903050644136667,0.0903050644136667
